<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130620;000000;292.6000000;300.0000000;244.5500000;278.2300000;4180
20130621;000000;277.6000000;279.9000000;260.5000000;262.3800000;4930
20130624;000000;265.8600000;265.8600000;254.0000000;254.5000000;6658
20130625;000000;251.1900000;255.9400000;244.9500000;252.1700000;5569
20130626;000000;247.3200000;248.5100000;236.4300000;237.0700000;11800
20130627;000000;238.0000000;238.0000000;222.2200000;228.6000000;13385
20130628;000000;228.0800000;231.2600000;220.0000000;224.9000000;19738
20130701;000000;227.0200000;242.8400000;227.0200000;240.4700000;20694
20130702;000000;240.6100000;256.9300000;240.6100000;249.3400000;17474
20130703;000000;248.1700000;250.0000000;235.0600000;244.7100000;21090
20130704;000000;235.3000000;252.9300000;235.3000000;251.5800000;5430
20130705;000000;251.0000000;253.1600000;237.5000000;242.5000000;8634
20130708;000000;238.0000000;241.8000000;230.0900000;236.0000000;34603
20130709;000000;237.0100000;242.3900000;234.7300000;238.3800000;48874
20130710;000000;238.8600000;244.1000000;234.2200000;235.0000000;17799
20130711;000000;237.0100000;260.0000000;236.7300000;256.0000000;62984
20130712;000000;257.8100000;258.2000000;250.2600000;251.6200000;6996
20130715;000000;250.0100000;254.7600000;249.3700000;253.8500000;5710
20130716;000000;254.1100000;265.9800000;253.8300000;265.0400000;5143
20130717;000000;270.4800000;284.0900000;258.0200000;283.8100000;15210
20130718;000000;281.3100000;289.9600000;272.0900000;283.8900000;24336
20130719;000000;287.5000000;303.4500000;281.6400000;303.4500000;8319
20130722;000000;300.8900000;313.6200000;297.0000000;313.6200000;7676
20130723;000000;311.6600000;325.0000000;310.0000000;325.0000000;28964
20130724;000000;322.0600000;322.0600000;314.0400000;315.3200000;14512
20130725;000000;311.0000000;313.4600000;300.9900000;311.9100000;2866
20130726;000000;311.9200000;323.8500000;311.9200000;317.1500000;12575
20130729;000000;317.9300000;321.8900000;312.1600000;320.1500000;87491
20130730;000000;318.8100000;322.0000000;314.9200000;321.2000000;16464
20130731;000000;325.0300000;325.0300000;320.6800000;322.5500000;7930
20130801;000000;320.7300000;345.6600000;320.7300000;339.9300000;8391
20130802;000000;333.0000000;338.9000000;321.6500000;336.0900000;2121
20130805;000000;335.1700000;335.3200000;329.8900000;333.5000000;2595
20130806;000000;335.0000000;335.0000000;321.2000000;321.5000000;1208
20130807;000000;322.0000000;332.3900000;317.0200000;329.8900000;6014
20130808;000000;333.0000000;359.9900000;333.0000000;355.7500000;4853
20130809;000000;355.5500000;367.9900000;352.2700000;367.0600000;3861
20130812;000000;476.0000000;476.0000000;365.9800000;375.0000000;4041
20130813;000000;379.9900000;387.9200000;373.2000000;383.0500000;3805
20130814;000000;387.5200000;387.5200000;377.4600000;382.1900000;2806
20130815;000000;285.0000000;383.0000000;285.0000000;370.0000000;2710
20130816;000000;380.0000000;401.9900000;371.7800000;397.8900000;14294
