<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;45.7200000;47.9980000;43.1150000;43.8990000;3698200
20140108;000000;43.9970000;44.9460000;43.3860000;44.8000000;1943300
20140109;000000;44.7370000;45.7750000;44.0200000;45.6000000;1514200
20140110;000000;45.1660000;46.9900000;44.6250000;45.6000000;4156200
20140113;000000;45.8960000;46.3010000;45.1550000;45.6170000;5217700
20140114;000000;45.1650000;45.1650000;43.4000000;44.5000000;5063300
20140115;000000;44.9790000;45.1750000;44.0000000;44.0000000;4869200
20140116;000000;44.3010000;45.0000000;44.1000000;44.5000000;2664600
20140117;000000;44.6900000;45.6500000;44.0020000;45.5000000;5202900
20140120;000000;45.1750000;45.4300000;44.9990000;45.1000000;2135200
20140121;000000;45.6570000;45.6570000;44.5550000;44.7000000;5192500
20140122;000000;44.8000000;44.9100000;41.7500000;43.7210000;9727400
20140123;000000;44.4890000;44.4890000;42.0410000;42.1010000;3162700
20140124;000000;42.0000000;49.0000000;40.4150000;44.7500000;4575800
20140127;000000;41.5030000;42.6600000;39.6500000;39.9990000;6736700
20140128;000000;40.1000000;40.2930000;38.7190000;39.9500000;8028700
20140129;000000;40.0230000;41.4980000;39.6100000;40.1400000;8011600
20140130;000000;40.1150000;41.1140000;38.8000000;41.1110000;2416900
20140131;000000;41.0020000;41.5600000;40.1410000;41.5600000;4290700
20140203;000000;41.9970000;43.5000000;41.5000000;42.4500000;4057800
20140204;000000;42.0010000;42.3500000;40.4670000;42.2200000;2368800
20140205;000000;41.6190000;42.9080000;41.6190000;42.5000000;3565400
20140206;000000;42.2850000;43.1320000;41.8100000;42.7470000;2125400
20140207;000000;42.7460000;43.7510000;42.5310000;43.7500000;2515000
20140210;000000;43.7510000;43.9720000;43.1030000;43.5220000;866200
20140211;000000;43.2170000;43.5500000;42.8130000;43.3880000;1905400
20140212;000000;43.4900000;43.8450000;43.4100000;43.8200000;4661700
20140213;000000;43.5170000;43.6910000;41.6200000;42.5700000;3146300
20140214;000000;42.6970000;43.2990000;42.1730000;43.1600000;2985700
20140217;000000;43.2870000;43.6480000;42.4720000;43.0000000;2022400
20140218;000000;43.2900000;43.4900000;42.1050000;42.1990000;2521500
20140219;000000;42.3280000;42.7000000;40.5100000;40.7210000;5139000
20140220;000000;40.7190000;40.9710000;38.4000000;39.0300000;6900600
20140221;000000;39.3000000;40.7750000;39.3000000;40.5710000;3514500
20140224;000000;40.4070000;41.4000000;40.1620000;41.2980000;4147800
20140225;000000;41.3000000;41.5730000;39.5720000;40.3200000;3576200
20140226;000000;40.4150000;41.1390000;40.4100000;40.9970000;2723000
20140227;000000;40.9980000;41.6040000;39.1000000;41.0000000;2082400
20140228;000000;40.3000000;41.1990000;39.6410000;41.0010000;2122600
20140303;000000;38.7310000;39.1900000;33.0000000;36.3990000;9537600
20140304;000000;36.3000000;39.3000000;35.5120000;37.2100000;9423900
20140305;000000;37.1500000;37.6900000;35.8140000;37.2580000;2605400
20140306;000000;36.8000000;37.4970000;35.9800000;37.0880000;6319200
20140307;000000;36.8000000;37.0770000;35.4510000;35.5000000;12051900
20140311;000000;35.1010000;35.7970000;33.6000000;35.3000000;4812000
20140312;000000;34.0930000;35.3940000;33.7870000;33.8920000;6112600
20140313;000000;34.0000000;34.4910000;31.9120000;32.0000000;7906000
20140314;000000;31.3410000;31.4900000;28.9500000;30.5500000;16413600
20140317;000000;31.8000000;34.4300000;30.4240000;32.9000000;13405500
20140318;000000;33.1500000;36.9410000;33.0850000;36.0580000;6048000
20140319;000000;36.4190000;37.1500000;34.4170000;34.9160000;5902900
20140320;000000;34.0400000;35.7880000;33.6100000;35.7000000;3864600
20140321;000000;34.0560000;35.3850000;33.5700000;34.8700000;7383400
20140324;000000;34.3870000;35.6870000;34.3870000;34.9970000;4489500
20140325;000000;35.1980000;36.0790000;34.4110000;35.9410000;6628600
20140326;000000;36.1020000;36.9960000;35.0690000;36.0000000;6575400
20140327;000000;35.5910000;36.4460000;34.4200000;35.4400000;1893500
20140328;000000;35.4900000;35.8900000;34.0000000;35.4550000;2859900
20140331;000000;35.3990000;36.1840000;35.0500000;35.7000000;4703200
20140401;000000;35.7890000;37.1500000;35.2520000;37.1500000;3312100
20140402;000000;36.9410000;37.7890000;35.8610000;37.1000000;7685600
20140403;000000;37.1470000;38.8240000;37.1470000;38.1000000;12616100
20140404;000000;38.1030000;39.0940000;37.5620000;39.0940000;5099600
20140407;000000;38.9000000;39.0980000;37.0520000;38.7000000;4553300
20140408;000000;38.2110000;39.5000000;38.2110000;39.5000000;5055900
